NN	section_label	volume	scan_filename	sub_page_url
01	Books by Borooah	0	bor_Page_001_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref01.html
02	Title Page	0	bor_Page_002_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref02.html
03	Publisher	0	bor_Page_003_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref03.html
04	Foreword	0	bor_Page_004_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref04.html
05	Foreword, 2	0	bor_Page_005_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref05.html
06	Foreword, 3	0	bor_Page_006_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref06.html
07	Introduction to Edition	0	bor_Page_007_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref07.html
08	Introduction to Edition, 2	0	bor_Page_008_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref08.html
09	Introduction to Edition, 3	0	bor_Page_009_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref09.html
10	Introduction to Edition, 4	0	bor_Page_010_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref10.html
11	Preface to First Volume	1	bor_Page_011_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref11.html
12	Preface to First Volume, 2	1	bor_Page_012_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref12.html
13	Preface to First Volume, 3	1	bor_Page_013_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref13.html
14	Preface to First Volume, 4	1	bor_Page_014_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref14.html
15	Preface to First Volume, 5	1	bor_Page_015_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref15.html
16	Preface to Second Volume	2	bor_Page_016_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref16.html
17	Preface to Second Volume, 2	2	bor_Page_017_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref17.html
18	Preface to Second Volume, 3	2	bor_Page_018_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref18.html
19	Preface to Second Volume, 4	2	bor_Page_019_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref19.html
20	Abbreviations of Works	0	bor_Page_020_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref20.html
21	Abbreviations of Works, 2	0	bor_Page_021_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref21.html
22	Abbreviations of Works, 3; Other	0	bor_Page_022_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref22.html
23	Other abbreviations, 2	0	bor_Page_023_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref23.html
24	Photograph of Borooah	0	bor_Page_024_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref24.html
25	Benediction	0	bor_Page_025_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref25.html
26	App. I Biography of Borooah	0	bor_Page_798_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref26.html
27	App. I, 2	0	bor_Page_799_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref27.html
28	App. I, 3	0	bor_Page_800_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref28.html
29	App. I, 4	0	bor_Page_801_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref29.html
30	App. I, 5	0	bor_Page_802_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref30.html
31	App. II, Appreciation of Borooah	0	bor_Page_803_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref31.html
32	App. II, 2	0	bor_Page_804_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref32.html
33	App. II, 3	0	bor_Page_805_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref33.html
34	App. II, 4	0	bor_Page_806_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref34.html
35	APP. III, Obituaries of Borooah	0	bor_Page_807_Image_0001.png	https://sanskrit-lexicon.uni-koeln.de/scans/csldev/csldoc/build/dictionaries/prefaces/borpref/borpref35.html
